Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009664~plant-type cell wall organization	42	1.7114914425427872	3.3655186093758577E-19	AT5G64100, AT5G05290, AT3G54590, AT1G69530, AT4G38400, AT1G76930, AT3G29030, AT1G12560, AT5G64120, AT1G34510, AT3G15370, AT4G33870, AT5G22410, AT2G24980, AT2G34060, AT5G06630, AT1G26250, AT4G13390, AT3G01190, AT2G21140, AT4G08410, AT1G23720, AT1G26770, AT5G35190, AT1G05240, AT2G28950, AT4G21960, AT2G03090, AT3G45960, AT3G54580, AT5G15180, AT4G08400, AT1G62980, AT1G30870, AT5G06640, AT4G26010, AT2G40610, AT1G05250, AT3G28550, AT4G01630, AT2G20750, AT5G56320	1717	91	18499	4.972626674432149	3.853518807735357E-16	3.853518807735357E-16	5.40915672074768E-16
GOTERM_BP_DIRECT	GO:0009733~response to auxin	75	3.056234718826406	3.65157373052632E-16	AT1G75590, AT1G34670, AT1G28130, AT3G03850, AT3G60690, AT3G16350, AT4G37390, AT3G59900, AT1G48690, AT1G29460, AT5G20810, AT1G59750, AT1G53230, AT1G17345, AT2G21210, AT2G46690, AT2G46990, AT5G18060, AT2G23170, AT2G18010, AT1G57560, AT2G17500, AT4G14550, AT1G29490, AT4G32810, AT3G03840, AT4G38840, AT4G12550, AT5G39610, AT5G20820, AT4G12410, AT2G31180, AT1G74840, AT2G16580, AT1G29450, AT1G29440, AT2G26740, AT1G56650, AT5G53590, AT4G34760, AT5G18030, AT5G18010, AT3G03830, AT5G66260, AT2G34650, AT4G11280, AT1G29420, AT5G10990, AT4G29080, AT1G15050, AT5G01490, AT5G66700, AT5G18080, AT2G19690, AT3G53250, AT5G03310, AT1G52830, AT5G57740, AT4G37610, AT1G29510, AT4G34750, AT5G18020, AT3G17600, AT3G03820, AT4G09530, AT1G18570, AT5G12330, AT5G54500, AT5G27780, AT5G07990, AT1G27740, AT4G34790, AT5G54490, AT5G25890, AT5G18050	1717	290	18499	2.786385636535256	3.8136160895874127E-13	1.907363156306019E-13	5.329070518200751E-13
GOTERM_BP_DIRECT	GO:0009873~ethylene-activated signaling pathway	50	2.037489812550937	2.2102095654152986E-12	AT4G39780, AT3G61630, AT4G17500, AT5G21120, AT5G25350, AT5G25190, AT4G18780, AT5G64750, AT1G77640, AT3G23150, AT3G23240, AT1G43160, AT2G23340, AT1G73500, AT5G13330, AT2G44940, AT2G28550, AT1G64380, AT2G40220, AT4G06746, AT1G79700, AT3G25730, AT5G44030, AT4G11140, AT5G47220, AT5G03280, AT1G68840, AT1G12890, AT2G25490, AT5G61590, AT1G72360, AT4G28140, AT3G16770, AT1G25560, AT3G14230, AT5G10120, AT3G15356, AT5G47230, AT3G15210, AT5G13910, AT5G03730, AT2G40940, AT2G25820, AT1G21910, AT1G44830, AT5G19790, AT1G36060, AT1G28370, AT1G04310, AT4G16750	1717	179	18499	3.009504039460798	2.530715637050207E-9	8.435718790167357E-10	3.5523473052023746E-9
GOTERM_BP_DIRECT	GO:0006979~response to oxidative stress	67	2.730236348818256	5.101577732646903E-12	AT5G19890, AT5G64100, AT4G21850, AT3G20340, AT1G72060, AT4G32770, AT4G36430, AT4G35090, AT1G58030, AT5G22410, AT2G04795, AT5G14130, AT1G49570, AT4G04810, AT5G47650, AT5G47000, AT5G20250, AT1G80130, AT4G39640, AT5G37940, AT1G05240, AT5G39610, AT1G68850, AT5G15180, AT2G14170, AT5G38000, AT5G24770, AT1G30870, AT3G30775, AT1G52200, AT1G05250, AT5G37980, AT5G16980, AT5G59820, AT2G35380, AT3G01420, AT3G10020, AT4G11280, AT2G47180, AT2G16500, AT5G03280, AT4G08770, AT1G75280, AT5G64120, AT1G34510, AT4G33870, AT2G22420, AT4G11600, AT2G34060, AT5G06720, AT3G01190, AT5G43750, AT3G49960, AT2G22660, AT2G39800, AT4G21960, AT1G02930, AT3G28340, AT2G18980, AT4G34710, AT5G16970, AT5G67400, AT4G26010, AT4G04840, AT1G09350, AT1G78380, AT1G11210	1717	291	18499	2.4806173158249725	5.84131576442104E-9	1.4603289688608356E-9	8.199407819375892E-9
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	195	7.946210268948656	5.453164379637314E-11	AT5G24150, AT4G21850, AT4G26740, AT4G38540, AT4G35090, AT4G20870, AT1G01600, AT1G49570, AT5G47000, AT5G42580, AT5G23190, AT1G34540, AT5G25140, AT3G13400, AT1G68850, AT5G61290, AT5G15180, AT2G14170, AT1G60740, AT3G09220, AT1G30730, AT2G46210, AT1G06080, AT5G16980, AT5G42590, AT5G47530, AT5G11540, AT2G47870, AT1G34510, AT1G11530, AT2G40370, AT3G29250, AT5G63600, AT2G39800, AT1G44090, AT2G34810, AT4G21960, AT5G16970, AT5G54500, AT4G12980, AT3G13450, AT5G14200, AT1G64950, AT1G48130, AT2G46750, AT4G36430, AT2G34500, AT1G78490, AT5G22410, AT5G59530, AT4G04810, AT1G79750, AT3G26060, AT1G43800, AT1G18140, AT2G25160, AT5G25180, AT3G22370, AT4G18360, AT2G46660, AT1G55290, AT1G65970, AT1G30870, AT5G51970, AT1G05010, AT4G12310, AT5G37980, AT4G36250, AT2G35380, AT4G08770, AT5G62630, AT4G25420, AT5G36110, AT2G12190, AT3G61750, AT4G15765, AT5G34780, AT1G65840, AT3G20940, AT3G47350, AT2G29290, AT5G63450, AT3G49960, AT1G04180, AT4G20820, AT1G02205, AT4G21200, AT2G21910, AT1G80820, AT3G03470, AT2G27690, AT2G19590, AT4G04840, AT1G78380, AT4G12330, AT5G59540, AT5G19890, AT5G51810, AT5G22500, AT1G77120, AT5G14130, AT5G48000, AT2G33380, AT4G37410, AT1G13710, AT5G37940, AT5G13700, AT1G05240, AT5G42250, AT4G17280, AT5G58660, AT3G56090, AT3G30775, AT3G62950, AT5G16240, AT1G05250, AT4G37400, AT2G43400, AT5G09970, AT2G29340, AT4G10500, AT1G75280, AT3G44540, AT5G64120, AT4G37430, AT1G64930, AT4G02520, AT1G60680, AT1G77330, AT5G06720, AT3G01190, AT5G47990, AT1G01580, AT2G18980, AT5G67400, AT5G07130, AT5G54080, AT4G39830, AT1G64940, AT1G55510, AT4G26010, AT2G42850, AT2G23180, AT1G21400, AT1G73340, AT5G64100, AT1G17020, AT1G62380, AT5G24910, AT1G58030, AT2G37770, AT3G59890, AT3G60290, AT2G22330, AT1G54100, AT4G32810, AT1G62570, AT4G39480, AT4G10040, AT4G39950, AT4G12170, AT5G38000, AT2G47880, AT4G22710, AT2G28860, AT2G26080, AT5G14780, AT2G21550, AT5G05320, AT5G21100, AT4G35420, AT2G37790, AT2G22420, AT5G44440, AT4G11600, AT4G13290, AT5G01190, AT5G24140, AT2G34060, AT2G29310, AT2G19800, AT1G13100, AT3G26220, AT1G03630, AT3G51240, AT2G21260, AT5G20550, AT5G07990, AT1G13080, AT1G06360, AT4G13660, AT3G14440, AT3G02000, AT3G60280, AT1G62190	1717	1330	18499	1.5796502029681074	6.243868166944111E-8	1.2487736622546208E-8	8.76447359132726E-8
GOTERM_BP_DIRECT	GO:0042744~hydrogen peroxide catabolic process	28	1.140994295028525	1.7478716171458543E-8	AT5G64100, AT5G19890, AT2G35380, AT4G08770, AT5G64120, AT1G34510, AT4G33870, AT4G36430, AT1G58030, AT2G22420, AT4G35090, AT5G22410, AT5G14130, AT1G49570, AT2G34060, AT5G06720, AT3G01190, AT5G47000, AT3G49960, AT1G05240, AT4G21960, AT2G18980, AT1G68850, AT5G67400, AT5G15180, AT1G30870, AT4G26010, AT1G05250	1717	89	18499	3.389580729388207	2.0012929895063536E-5	3.335516129854277E-6	2.8092283366198956E-5
GOTERM_BP_DIRECT	GO:0006869~lipid transport	37	1.5077424612876935	7.593417753303277E-8	AT4G33550, AT5G59320, AT4G22460, AT4G25860, AT4G12520, AT5G13900, AT2G48130, AT1G51500, AT2G10940, AT4G00165, AT4G12470, AT4G12490, AT2G37870, AT3G51600, AT5G46890, AT1G73560, AT5G46900, AT3G18280, AT4G22470, AT3G22620, AT1G18280, AT4G12510, AT4G22610, AT4G12550, AT2G48140, AT5G57240, AT3G43720, AT5G59310, AT5G09370, AT3G53980, AT2G44290, AT5G48485, AT4G12480, AT5G64080, AT1G62510, AT3G22120, AT3G22600	1717	150	18499	2.657592700446515	8.694085696481224E-5	1.2420585226768921E-5	1.2204348844857549E-4
GOTERM_BP_DIRECT	GO:0009828~plant-type cell wall loosening	16	0.6519967400162999	2.5831309709500925E-7	AT1G26770, AT5G05290, AT2G28950, AT1G69530, AT4G38400, AT2G03090, AT3G45960, AT3G29030, AT4G30270, AT1G12560, AT3G15370, AT1G62980, AT2G40610, AT2G20750, AT4G01630, AT5G56320	1717	36	18499	4.7884553161198475	2.957247992184664E-4	3.697038338101866E-5	4.151673092867014E-4
GOTERM_BP_DIRECT	GO:0071555~cell wall organization	59	2.404237978810106	2.68455195678328E-7	AT2G18950, AT4G33440, AT4G39350, AT4G18780, AT5G57530, AT4G25820, AT4G23560, AT2G44570, AT3G16850, AT3G22800, AT1G12040, AT5G17420, AT1G75500, AT5G23190, AT4G28850, AT1G48930, AT3G09410, AT4G02130, AT4G13840, AT1G48100, AT3G62060, AT1G62440, AT1G24170, AT1G77130, AT1G05660, AT1G32170, AT3G61490, AT5G16910, AT5G54690, AT5G44030, AT2G37090, AT1G13250, AT4G30270, AT1G74420, AT2G28110, AT4G14130, AT3G48580, AT1G02460, AT2G15370, AT2G18800, AT4G20050, AT5G57540, AT4G01750, AT3G18660, AT4G30280, AT5G17780, AT3G28340, AT1G02800, AT2G27860, AT3G06770, AT4G02290, AT2G15880, AT5G67230, AT5G41900, AT2G43870, AT4G19970, AT1G08990, AT5G22940, AT2G20750	1717	314	18499	2.0244186089646807	3.0733400348070816E-4	3.415288791619453E-5	4.3146791219861313E-4
GOTERM_BP_DIRECT	GO:0009753~response to jasmonic acid	36	1.466992665036675	6.51554653277817E-7	AT1G74020, AT2G36890, AT4G11280, AT3G16350, AT1G76930, AT5G03280, AT5G61420, AT5G47390, AT1G43160, AT5G60890, AT1G71030, AT1G44350, AT4G05100, AT1G57560, AT1G07640, AT3G16770, AT2G34810, AT5G07010, AT3G56400, AT5G13330, AT2G31180, AT1G18570, AT1G19180, AT1G21910, AT1G74840, AT4G34710, AT1G70170, AT3G16470, AT1G72450, AT4G37260, AT5G24770, AT1G56650, AT4G09460, AT1G06180, AT4G19810, AT5G64900	1717	156	18499	2.4863133372160746	7.457521095577402E-4	7.460024936190024E-5	0.0010471919294485765
