AT1G01480.1,0.9055,1.1376,1.2021,0.7945,0.6429,0.7433,0.6438,0.6726,0.4537,0.9572,0.6068,0.5755,0.4870,0.5631,0.7884,0.5565,0.4423,0.4692,0.7739,0.8352,0.8206
AT1G01580.1,1.9998,2.9793,2.5569,1.1914,2.5622,3.4920,1.5956,1.3491,2.5296,1.6179,2.0895,1.9384,1.1346,2.5470,3.1594,2.0646,1.8180,2.9383,0.5356,0.7160,0.7294
AT1G01620.1,1057.9422,1298.7103,788.5986,1171.9416,1416.1460,991.2215,950.3120,1328.6793,906.2773,911.8969,1199.0201,707.1488,701.3389,580.3746,429.0034,614.8893,698.2814,424.3886,805.9205,802.3075,564.7642
AT1G01620.2,1086.5865,1334.5224,808.4328,1208.1066,1454.9929,1016.4390,978.0277,1367.5579,928.6110,936.1092,1231.0812,724.7762,720.7213,596.5317,439.6041,632.4223,717.1135,435.2427,829.1088,824.7317,579.6040
AT1G02770.1,2.3841,2.5756,2.9124,1.6819,2.1535,2.5725,1.8124,3.1863,2.8336,2.5203,1.6483,2.1398,1.4785,2.2106,1.4424,2.4841,2.1216,2.3450,1.6031,2.0769,2.3863
AT1G03120.1,2.1944,2.5562,3.2966,1.6686,2.2494,2.1031,2.3993,4.6349,2.2472,4.7058,1.1045,1.5590,1.3759,1.7039,0.6543,1.5442,1.1757,1.5044,1.1441,1.7867,2.2195
AT1G03130.1,37.7041,36.5184,34.9551,62.7596,38.0650,33.7582,53.3975,18.3830,20.4427,21.7863,21.0539,24.4315,29.5043,18.3289,44.9178,32.1713,39.2849,33.4516,40.3353,50.1647,37.1743
AT1G03630.1,10.1422,9.5722,14.1666,11.8879,7.2187,12.5491,11.0650,6.2336,9.0030,8.3543,7.1545,10.3549,7.3752,4.4019,13.6070,6.1575,7.2565,9.1868,7.7487,6.3514,6.0395
AT1G03630.2,10.2529,9.6766,14.3213,12.0176,7.2975,12.6861,11.1858,6.3017,9.1012,8.4455,7.2326,10.4679,7.4557,4.4500,13.7556,6.2247,7.3357,9.2871,7.8333,6.4208,6.1054
AT1G03700.1,2.6518,4.2363,2.7707,2.6741,3.3359,2.7562,3.4475,2.8170,2.3270,1.5760,2.3335,1.4504,0.4508,0.7322,0.1880,0.4043,0.6912,0.6269,0.3626,0.2333,0.3932
AT1G03820.1,1.6564,2.3849,2.5461,1.8417,1.9534,2.2202,1.5282,0.5912,1.1790,0.6611,1.8388,1.4065,0.8349,0.2382,1.2489,0.5992,0.3553,0.9293,0.4224,0.5179,0.4580
AT1G03850.2,44.0323,54.9479,56.9221,40.2818,49.0335,74.9373,34.7779,49.1751,77.4865,37.5310,44.1070,57.8191,28.1522,24.1187,63.0804,35.5328,32.5364,42.8077,32.7613,37.7307,32.3884
AT1G04140.1,34.4606,38.3916,39.4415,35.4445,36.7188,40.6256,29.0306,25.9399,35.4881,21.8178,26.5395,25.6312,28.2927,26.4042,27.0999,32.4172,35.7229,36.4554,37.6216,40.0356,33.3388
AT1G04140.2,34.2951,38.2073,39.2521,35.2743,36.5425,40.4305,28.8998,25.8153,35.3177,21.7270,26.4120,25.5081,28.1569,26.2775,26.9697,32.2615,35.5513,36.2804,37.4410,39.8433,33.1787
AT1G04360.1,3.1281,4.1641,4.7515,4.4090,5.0104,3.5997,3.4489,2.3336,2.0609,1.9349,2.8437,1.8252,2.9750,1.8446,3.4935,2.2738,2.6665,3.0524,2.3401,2.1674,2.6383
AT1G04660.1,1.2785,2.0215,2.1467,0.9460,2.3466,1.4352,1.5404,1.8190,2.6124,1.1533,1.4441,1.5461,0.7523,0.5212,0.5254,0.3432,0.3426,0.2721,0.1800,0.3460,0.2229
AT1G04800.1,15.3458,10.0563,13.4298,15.9335,13.0497,15.5660,12.5530,6.3133,9.1005,5.6496,10.9129,11.4119,10.1354,6.8420,19.1385,4.7537,7.2594,7.8894,11.9970,7.2413,7.7041
AT1G04980.1,5.9202,5.1516,6.4177,4.8192,5.2479,8.1389,3.4322,4.2847,5.9556,4.9853,3.9582,4.8881,3.2794,3.0332,4.5629,3.9167,4.0148,6.3726,4.4472,4.6727,7.2564
AT1G05220.1,2.0237,1.6193,1.3650,0.5200,1.4324,0.9479,1.2959,1.3323,1.1833,1.4901,1.9164,0.8597,0.6633,1.8643,1.0741,1.5672,1.5885,1.2417,0.7500,1.1799,1.0672
AT1G05300.1,5.1506,8.9563,9.1983,5.7854,9.0195,12.5061,5.9528,10.1195,11.6695,5.7555,7.9538,7.6620,3.5250,4.4353,3.4447,4.3880,5.0540,7.4298,2.9274,4.8768,4.1112
AT1G05450.2,1.8125,1.2092,2.4384,1.4958,1.5204,1.4886,1.2530,1.2635,1.6476,0.7332,0.9474,1.3635,0.9887,1.0830,1.1435,0.4411,0.4065,1.0169,0.3561,0.4269,0.3006
AT1G05450.1,1.6432,1.2023,2.6692,1.0586,1.2163,1.3166,0.6412,0.9335,1.7293,0.6648,1.0104,1.6993,0.9353,1.0135,1.2094,0.3201,0.3686,0.9220,0.1441,0.4514,0.2338
AT1G05660.1,1.0169,2.6707,1.8846,1.4171,3.1567,2.6913,1.2479,2.3784,1.7452,1.9585,1.4557,1.5344,0.4559,0.4693,0.4717,0.3428,0.3160,0.2964,0.1961,0.2516,0.1823
AT1G06180.1,1.1742,1.5744,1.7310,1.2721,1.3540,1.4990,1.1791,0.8161,1.5515,1.0087,1.2269,1.2901,0.7102,0.7375,1.0056,0.5259,0.9311,0.8234,0.6165,0.9128,1.0219
AT1G06360.1,31.1874,28.5381,40.5963,29.1352,29.3420,38.0954,32.7033,35.0533,47.1033,39.0951,28.6612,40.9906,19.0164,23.8567,25.8929,16.0638,14.9200,17.3169,15.2366,15.2526,16.4930
AT1G06520.1,1.0489,1.0448,1.5791,1.1453,0.8238,1.8381,1.0488,1.2728,1.9049,1.0734,0.9096,1.3373,0.5940,0.5414,0.6186,0.2220,0.3743,0.6637,0.5955,0.5060,0.5741
AT1G06830.1,2.2052,3.0967,1.9035,3.2589,4.4378,2.7027,2.7633,0.9295,1.0765,1.9050,2.3041,1.1283,1.8485,1.3294,2.4431,1.4574,0.7391,0.7921,0.9805,0.5296,0.5675
AT1G06980.1,24.3001,31.7237,21.9943,21.2087,21.2303,11.9898,17.3867,20.3382,11.8488,17.6145,11.1092,11.2383,16.6839,14.8503,11.1079,18.7698,18.9221,10.3160,22.3716,23.1938,18.7502
AT1G07128.1,0.9500,1.2260,1.0129,0.9942,0.7970,0.6472,0.9764,0.8828,0.7728,0.6038,0.7593,0.7148,0.9008,1.2444,0.7492,1.3381,1.1056,0.5958,1.5307,2.0462,0.9874
AT1G07720.1,33.0190,43.0993,29.6951,53.8300,34.1610,30.7819,29.0526,21.8197,20.6427,19.0209,16.3733,20.2049,22.5092,13.8108,21.6413,20.7603,20.5403,20.9156,30.0008,29.0082,24.8141
AT1G08005.1,1.3314,1.1688,1.1493,1.0935,0.8937,1.2693,0.8026,0.2345,0.4338,0.7846,0.8351,0.6389,0.8588,0.5239,0.4765,0.8801,1.0135,0.4487,0.3951,0.1782,0.2147
